model	percentile	io_type	io_size	latency
AFA	59	write	0.5	0.110003407155025553662691652470187394
AFA	59	write	128.0	0.343052023121387283236994219653179191
AFA	60	nsRead	2.0	0.341000000000000000000000000000000000
AFA	63	write	32.0	0.158207734806629834254143646408839779
AFA	64	seqRead	16.0	0.355200000000000000000000000000000000
AFA	64	seqRead	128.0	0.434172248803827751196172248803827751
AFA	64	seqRead	512.0	1.387451980568011958146487294469357250
AFA	67	seqRead	512.0	1.585172093023255813953488372093023256
AFA	68	nsRead	0.5	0.323750000000000000000000000000000000
AFA	68	nsRead	64.0	0.921717391304347826086956521739130435
AFA	69	seqRead	16.0	0.394140859140859140859140859140859141
AFA	69	seqRead	512.0	1.740560818083961248654467168998923574
AFA	69	write	8.0	0.094500000000000000000000000000000000
AFA	70	nsRead	32.0	0.732935762584522915101427498121712998
AFA	70	write	512.0	1.590910179640718562874251497005988024
AFA	74	nsRead	8.0	0.484972301604748296328863486480545175
AFA	74	seqRead	128.0	0.705779763541380258454770415177343965
AFA	77	write	512.0	1.714263513513513513513513513513513514
AFA	79	seqRead	512.0	2.912209302325581395348837209302325581
AFA	80	nsRead	64.0	1.091899280575539568345323741007194245
AFA	82	write	16.0	0.127479282622139764996907854050711194
AFA	83	nsRead	64.0	1.152897058823529411764705882352941176
AFA	83	nsRead	128.0	1.956021276595744680851063829787234043
AFA	84	nsRead	32.0	0.890250000000000000000000000000000000
AFA	84	write	512.0	1.875954545454545454545454545454545455
AFA	88	nsRead	128.0	2.218236583069417101771805187023880853
